ns,key,en,hu
,3A80B5934E262ED76E9ABDBA03914BE1, per sq. m., / m²
,3219A53F47D41C713877ABA84080DF3E,$,$
,418C1A584A6F34B16EEDC1A811D73A7B,${Dollars},${Dollars}
,4D227B9C469F79259D3B5C9618A45ACD,- Basic\r\n- Heavy,- Alap\r\n- Nehéz
,CF9BF3C845F4F931D53FD6AAA5CBED02,- Basic\r\n- Heavy,- Alap\r\n- Nehéz
,75BD859344EE69BA602C8A987265D00A,- Basic\r\n- Heavy\r\n- Industrial,- Alap\r\n- Nehéz\r\n- Ipari
,DAA0EA334869133AECBC37ACC799FFAF,- Basic\r\n- Heavy\r\n- Industrial\r\n- Powered\r\n- Hydraulic,- Alap\r\n- Nehéz\r\n- Ipari\r\n- Gépi\r\n- Hidraulikus
,234D85A04A1444C91BCF9D9F1472EED2,- Basic\r\n- Industrial,- Alap\r\n- Ipari
,3D03A167401A24422188459CC2B3366D,- Digging\r\n- Mining\r\n- Wrench,- Ásó\r\n- Csákány\r\n- Csavarkulcs
,F40AA3CA42F338FB508409ADCC31C736,- Pan\r\n- Pot\r\n- Oven Dish,- Serpenyő\r\n- Fazék\r\n- Sütőtál
,F989DF0449211032CB1BE8A93748D8B0,- Powered,- Üzemel
,A8741C514C03A45D7250D4AC7C08994D,- Screwdriver\r\n- Powered\r\n- Industrial\r\n- Hydraulic,- Csavarhúzó\r\n- Gépi\r\n- Ipari\r\n- Hidraulikus
,5108184E4254CD248481E49EA287C5FE,1 Month,1 hónap
,A84FF45C452A7B3749CD96B5EAC1CF57,1 Week,1 hét
,17090BA24A8F1AC7EDCCDB8B724E87DD,1 Year,1 év
,64CC96F14C97057088FDB7A5E2882F98,1-Ingredient Recipes (Well Fed),1 Receptek hozzávalói (Jóllakott)
,0BE5974641BF4F3550C49FAF336A103B,1.5 Months,"1,5 hónap"
,77A222E941C6D9991A94EDB88B5706E6,1.5 Years,"1,5 év"
,C2F159504CF8367CE1B265A2C91505F3,10-in-1 Shampoo Review (Dirty),10 az 1-ben sampon teszt (Koszos)
,F38F0A7946681A6793F162ADAA96B786,101 Useful Tips for Staying Awake 72 Hours (Tired),101 hasznos tipp 72 óra ébrenléthez (Fáradt)
,EE73B1714E7B4722A4E620BD664FCFB1,16,16
,C010775B41EBC68A24A900A5A4F3349E,2 Months,2 hónap
,9FBC1CA04AE02094353431BEBD43395C,3 Months,3 hónap
,952E47674B9A199D23EE4C99F0F48C0B,3rd Grade Science Textbook (Burnt Hand),Harmadikos természettudomány tankönyv (Megégett kéz)
,AFFFB2974C8B094FBE9AE19614908727,5 Days,5 nap
,45B5A316401B8CB342DE0C999648E355,6 Months,6 hónap
,34DB129A4777C0A70EFAF5B2912AAF09,9 Months,9 hónap
,B0BBFFD04A6DA25009BE5AB635828C4B,A Diver's Guide to Holding Your Breath (Drowning),Búvárkalauz a lélegzet visszatartáshoz (Fulladás)
,D194A8104A1B2E3DDED657B3620F01B5,A Sunny Day in the Sahara (Overheating),Egy szép nap a Szaharában (Túlhevülés)
,C7FC179B41BD813C7D60DC95ABBA561B,"A bottle of pet perfume, usually has perfume in it.","Egy üveg kutyaparfüm, általában parfüm van benne."
,45010C3949B146FFF9946B8F3E4B8C6A,A bowl of soup created by foraged king boletus mushrooms.\r\n\r\nA soup with an unknown medicinal effect.,Egy tál leves gyűjtögetett vargányából.\r\n\r\nIsmeretlen gyógyhatású leves.
,A08D43114A7CF1C7769922975B8A38FA,A bowl of soup created by foraged witch's hat mushrooms.\r\n\r\nA soup with an unknown medicinal effect.,Egy tál leves gyűjtögetett boszorkánykalap gombából.\r\n\r\nIsmeretlen gyógyhatású leves.
,AC33C80549D38C676C5B4AA0C6184F64,"A box full of ground common mullein, can be used to make a tea.","Egy doboz őrölt ökörfarkkóró, teát lehet belőle főzni."
